Model_number,reps,fold,brier,slope,auc,Variables,Penalty,Model,Approach
4,5,7,0.148169689,1.017005945,0.780448691,B + CCI,,Logistic,Logistic
4,5,8,0.134910576,1.043873615,0.797305944,B + CCI,,Logistic,Logistic
4,5,9,0.150047894,0.908508752,0.768833009,B + CCI,,Logistic,Logistic
4,5,10,0.145331663,0.986106528,0.779305601,B + CCI,,Logistic,Logistic
5,1,1,0.151597352,0.911980496,0.783347534,B + CMS,,Cox,Cox
5,1,2,0.150149137,0.893541611,0.788133698,B + CMS,,Cox,Cox
5,1,3,0.14865182,0.948484464,0.793044537,B + CMS,,Cox,Cox
5,1,4,0.145824672,0.936861858,0.793978391,B + CMS,,Cox,Cox
5,1,5,0.143062096,0.936233283,0.79321054,B + CMS,,Cox,Cox
5,1,6,0.151686145,0.919926884,0.785003098,B + CMS,,Cox,Cox
5,1,7,0.15833983,0.845852549,0.779393694,B + CMS,,Cox,Cox
5,1,8,0.15267342,0.896270058,0.776641963,B + CMS,,Cox,Cox
5,1,9,0.143686582,0.939822353,0.797404053,B + CMS,,Cox,Cox
5,1,10,0.156285795,0.853464532,0.774255,B + CMS,,Cox,Cox
5,2,1,0.150999366,0.928142908,0.791907559,B + CMS,,Cox,Cox
5,2,2,0.14911142,0.884377936,0.775722184,B + CMS,,Cox,Cox
5,2,3,0.1469543,0.940978817,0.793908294,B + CMS,,Cox,Cox
5,2,4,0.152692207,0.878796795,0.777423015,B + CMS,,Cox,Cox
5,2,5,0.151509755,0.982281374,0.796865592,B + CMS,,Cox,Cox
5,2,6,0.145164456,0.912784074,0.789474252,B + CMS,,Cox,Cox
5,2,7,0.151126745,0.859008813,0.787267936,B + CMS,,Cox,Cox
5,2,8,0.153314788,0.910340198,0.783312499,B + CMS,,Cox,Cox
5,2,9,0.150963144,0.893716865,0.782691992,B + CMS,,Cox,Cox
5,2,10,0.153417012,0.871768083,0.779403032,B + CMS,,Cox,Cox
5,3,1,0.149237761,0.922601957,0.791341876,B + CMS,,Cox,Cox
5,3,2,0.151929252,0.849094162,0.770778088,B + CMS,,Cox,Cox
5,3,3,0.150300572,0.923637046,0.787804828,B + CMS,,Cox,Cox
5,3,4,0.151582809,0.886073711,0.777634517,B + CMS,,Cox,Cox
5,3,5,0.156396068,0.883601955,0.783741146,B + CMS,,Cox,Cox
5,3,6,0.153458428,0.878870589,0.776810849,B + CMS,,Cox,Cox
5,3,7,0.14457081,0.93695795,0.805803596,B + CMS,,Cox,Cox
5,3,8,0.143595142,0.986296528,0.797435298,B + CMS,,Cox,Cox
5,3,9,0.151455224,0.934260822,0.795333059,B + CMS,,Cox,Cox
5,3,10,0.154488643,0.873926954,0.775739536,B + CMS,,Cox,Cox
5,4,1,0.154899611,0.865404327,0.779293212,B + CMS,,Cox,Cox
5,4,2,0.150341973,0.912590414,0.782094384,B + CMS,,Cox,Cox
5,4,3,0.14442043,0.921660576,0.79391929,B + CMS,,Cox,Cox
5,4,4,0.144804673,0.904689777,0.783043883,B + CMS,,Cox,Cox
5,4,5,0.147654226,0.901229341,0.788432789,B + CMS,,Cox,Cox
5,4,6,0.152961979,0.869571862,0.780145605,B + CMS,,Cox,Cox
