reps,fold,brier,slope,auc,runtime,model,Model_number
5,2,0.139816164,1.035680672,0.793859328,0.144986391,6,6
5,3,0.145889229,0.996553413,0.787620966,0.149444103,6,6
5,4,0.140464537,1.023404071,0.790403298,0.146038532,6,6
5,5,0.147470373,0.942872927,0.772871223,0.147356272,6,6
5,6,0.139522902,0.982084448,0.784467678,0.148902178,6,6
5,7,0.147614964,0.995297828,0.781918185,0.150964499,6,6
5,8,0.13473663,1.026938422,0.798789451,0.147817135,6,6
5,9,0.149480041,0.900307537,0.770061826,0.15145731,6,6
5,10,0.144042605,1.006279962,0.783294554,1.72213006,6,6
1,1,0.140056557,0.998415073,0.79109123,0.781907082,7,7
1,2,0.139591781,0.99339521,0.795531622,0.777269602,7,7
1,3,0.138353581,0.996894984,0.795922192,2.367312431,7,7
1,4,0.133979617,1.032544446,0.79998024,0.805328131,7,7
1,5,0.131277339,1.034858328,0.798380138,0.82062149,7,7
1,6,0.143336625,1.02345963,0.790570274,0.801695824,7,7
1,7,0.148060246,0.92468547,0.785910935,0.74821949,7,7
1,8,0.143236188,0.965361933,0.782675617,2.354915619,7,7
1,9,0.135109111,1.050212754,0.801966516,0.794901133,7,7
1,10,0.148450053,0.923118313,0.779342138,0.770558834,7,7
2,1,0.143488291,1.009885061,0.797680718,0.781957626,7,7
2,2,0.138749981,0.956863853,0.782505473,2.34764576,7,7
2,3,0.138552753,1.038866558,0.801476076,0.796228409,7,7
2,4,0.143021008,0.948442169,0.780113978,0.792610407,7,7
2,5,0.1419049,1.074664615,0.801195794,2.345713615,7,7
2,6,0.133813674,0.999718933,0.794289207,0.790181875,7,7
2,7,0.140007656,0.968810426,0.793389249,0.786212206,7,7
2,8,0.141268061,0.980645452,0.790214954,0.769999504,7,7
2,9,0.141546079,0.969477312,0.787696343,0.793698311,7,7
2,10,0.142846506,0.974800914,0.788210333,2.369726658,7,7
3,1,0.138089282,1.004307517,0.799433984,0.828637362,7,7
3,2,0.142275889,0.929171631,0.776212327,0.778782129,7,7
3,3,0.140375343,1.053770655,0.796050277,0.796744585,7,7
3,4,0.141470346,0.964360887,0.786827413,0.804214001,7,7
3,5,0.146716847,0.977115473,0.789729247,2.373234034,7,7
3,6,0.144708745,0.941024144,0.782070936,2.349921703,7,7
3,7,0.129976491,1.015259343,0.809960727,2.370493412,7,7
3,8,0.1329555,1.079918399,0.803728413,0.802857876,7,7
3,9,0.144723549,1.019520523,0.797872939,0.791426897,7,7
3,10,0.146315277,0.95386151,0.779539074,2.352806568,7,7
4,1,0.145135268,0.947267142,0.783738468,0.775337458,7,7
4,2,0.138965596,0.992781819,0.787512641,0.798088551,7,7
4,3,0.134902437,1.023162528,0.801273043,0.780427217,7,7
4,4,0.132491972,0.973188572,0.786793053,0.818410158,7,7
4,5,0.1389503,0.987340956,0.793939167,2.353334188,7,7
4,6,0.140477931,0.978730584,0.789774289,0.79978776,7,7
4,7,0.144100247,1.000128842,0.792646024,0.798615932,7,7
4,8,0.146380019,1.006298138,0.789382917,0.813755751,7,7
4,9,0.142814728,1.006325159,0.794927906,0.816130877,7,7
4,10,0.139895066,1.012973538,0.797152259,0.756831408,7,7
5,1,0.132532945,1.064106007,0.804110821,0.805961132,7,7
5,2,0.137784063,1.038210356,0.799447222,2.372078657,7,7
5,3,0.143480233,1.006913129,0.795140212,0.779317379,7,7
5,4,0.139450454,1.008490497,0.794663831,2.358100176,7,7
5,5,0.146107454,0.948532908,0.777730435,0.808861017,7,7
5,6,0.138501367,0.971004435,0.788916369,0.808829308,7,7
5,7,0.147779059,0.955417146,0.783428066,0.821133137,7,7
5,8,0.133199715,1.003786693,0.80411353,0.817768574,7,7
5,9,0.146977646,0.912034687,0.778393549,0.796078444,7,7
5,10,0.142527282,0.994822086,0.787567544,0.801082373,7,7
1,1,0.145535129,1.011635789,0.769055675,6.574084759,8,8
1,2,0.145822098,0.980555803,0.769390293,4.716975451,8,8
1,3,0.140937702,1.080505114,0.784765814,4.780416965,8,8
1,4,0.140570552,1.001026708,0.773169788,3.280668736,8,8
1,5,0.136753073,1.002780388,0.774088596,4.801355124,8,8
1,6,0.149440017,0.997422564,0.771073077,4.782403469,8,8
1,7,0.153270413,0.930730649,0.764407335,6.066616058,8,8
1,8,0.149826495,0.932692404,0.759311864,4.711197615,8,8
1,9,0.142507712,1.023680735,0.778516117,4.745783806,8,8
1,10,0.153379654,0.926602733,0.759092332,3.068730593,8,8
2,1,0.148830726,1.00435227,0.77713992,4.693909407,8,8
